2017,2018,,Hungrybox,,Plup,,Armada,,Leffen,,Mew2 King,,Mango,,Wizzrobe,,aMSa,,Zain,,Axe,,SFAT,,Crush,,S2J,,Lucky,,HugS,,Swedish Delight,,PewPewU,,Westballz,,n0ne,,Duck,,lloD,,AbsentPage,,Ryan Ford,,KJH,,Shroomed,,ARMY,,La Luna,,Syrox,,Trif,,Captain Smuckers,,Colbol,,iBDW,,Bananas,,Ginger,,Ice,,Rishi,,Mike Haze,,Bladewise,,Captain Faceroll,,Junebug,,Kalamazhu,,2saint,,Slox,,Gahtzu,,Michael,,Moky,,Santiago,,Professor Pro,,Medz,,Over Triforce,,ChuDat,,DruggedFox,,dizzkidboogie,,Kirby Kaze,,Nintendude,,Prince Abu,,Amsah,,Android,,Hax,,Kage,,MacD,,Laudandus,,SET COUNT VS. 1-50,,,SET COUNT VS. 26-50,,,SET COUNT VS. 11-25,,,SET COUNT VS. 7-10,,,SET COUNT VS. 1-6,,
N/A,33,Bananas,0,3,1,0,,,0,1,1,0,1,1,,,,,0,1,1,0,,,,,1,0,1,1,1,3,1,0,,,,,1,1,,,,,0,1,,,,,,,,,0,1,,,,,,,,,1,0,,,0,1,,,0,1,1,1,,,,,,,,,,,1,0,1,0,0,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,14,-,17,3,-,3,6,-,8,2,-,1,3,-,5
49,34,Ginger,0,1,0,2,,,,,,,0,1,0,1,,,0,3,1,0,0,1,,,0,1,0,2,0,1,0,3,,,0,2,0,1,1,6,1,1,2,1,1,0,5,16,,,,,0,1,1,0,,,,,0,1,0,2,1,0,,,,,,,3,0,,,0,1,,,,,1,0,0,1,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,,,14,-,48,9,-,20,4,-,22,1,-,2,0,-,4
28,35,Ice,,,,,,,0,2,0,1,,,,,0,1,,,,,,,,,0,2,,,1,0,1,0,,,,,,,0,1,,,,,,,,,,,,,0,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,0,1,,,1,0,,,3,2,2,4,,,,,,,0,1,,,4,2,1,0,,,,,,,,,13,-,14,11,-,5,2,-,6,0,-,0,0,-,3
36,36,Rishi,,,0,1,,,0,1,1,0,0,1,0,1,0,1,0,3,,,0,3,0,3,0,1,,,,,2,0,1,0,1,0,0,1,0,1,1,1,3,1,,,0,2,,,0,1,1,1,0,1,,,5,3,,,2,2,1,0,,,,,,,,,1,0,,,,,1,0,2,2,3,0,,,0,2,1,0,,,,,,,0,1,,,,,,,,,,,1,0,,,1,0,0,4,,,1,0,,,18,-,31,12,-,13,5,-,9,0,-,6,1,-,3
25,37,MikeHaze,,,0,3,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,0,1,3,5,2,2,2,0,,,0,2,0,2,0,1,,,,,,,,,1,0,6,9,0,1,,,,,,,,,,,1,1,0,3,,,,,,,1,0,4,1,,,,,0,1,,,0,1,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,0,1,1,0,1,0,,,17,-,36,9,-,12,8,-,15,0,-,4,0,-,5
37,38,Bladewise,0,1,,,,,,,,,,,0,1,1,0,0,1,0,1,0,1,,,0,2,0,1,1,0,,,,,,,1,3,0,2,0,1,,,2,0,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,0,1,,,,,,,0,1,4,1,,,1,4,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,10,-,27,6,-,12,4,-,10,0,-,4,0,-,1
52,39,Captain Faceroll,0,1,,,,,,,,,,,0,1,,,0,3,0,1,0,6,0,1,2,5,3,5,2,1,0,1,0,1,1,7,1,1,1,0,0,2,2,0,,,,,1,0,5,18,1,0,1,0,,,,,,,,,1,0,,,,,,,1,4,,,,,,,0,1,1,0,1,0,0,1,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,20,-,50,8,-,12,10,-,27,2,-,10,0,-,1
54,40,Junebug,,,,,,,,,,,,,,,,,4,9,,,,,,,,,0,1,,,,,,,,,,,,,14,22,0,1,,,,,,,,,1,0,,,0,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,22,-,36,13,-,22,7,-,7,2,-,7,0,-,0
70,41,Kalamazhu,0,2,,,,,0,1,,,1,0,0,1,,,,,,,1,0,,,1,1,2,0,,,,,,,0,1,,,,,,,,,,,,,0,4,1,0,2,0,1,1,,,,,,,0,1,,,,,,,0,1,,,1,0,1,0,,,,,,,,,0,1,,,,,,,,,,,,,0,1,,,0,1,,,,,,,,,,,,,,,,,,,11,-,15,5,-,5,4,-,6,1,-,1,1,-,3
100,42,2saint,0,2,,,,,,,,,,,0,1,,,,,,,,,,,0,1,1,0,1,0,2,1,,,,,0,2,0,1,0,2,,,,,0,2,,,,,1,1,,,,,4,6,,,0,1,,,0,1,,,2,2,1,0,,,0,1,,,,,,,0,1,0,1,,,0,1,,,,,,,,,0,1,,,,,,,1,0,,,,,,,1,0,,,0,1,,,12,-,24,7,-,16,5,-,5,0,-,1,0,-,2
42,43,Slox,0,1,,,,,0,1,0,2,,,,,,,0,1,0,1,0,1,0,2,,,,,,,1,0,0,2,,,0,2,,,1,1,,,0,1,1,2,0,1,0,1,0,1,,,1,0,5,3,,,1,2,0,1,1,0,0,1,0,3,,,,,0,1,0,2,,,1,0,,,1,0,,,,,,,,,,,2,4,0,1,,,1,0,1,0,,,,,,,,,1,0,,,,,1,0,16,-,29,15,-,15,1,-,9,0,-,1,0,-,4
43,44,Gahtzu,3,13,1,6,0,1,0,1,,,0,1,,,,,1,0,,,1,0,,,1,0,1,0,,,0,1,0,1,,,0,1,,,,,0,3,,,,,,,3,5,,,,,0,1,,,0,11,0,1,0,1,,,1,1,,,1,0,,,1,0,,,1,0,1,0,0,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,18,-,43,9,-,18,3,-,4,2,-,0,4,-,21
N/A,45,Michael,,,,,,,0,1,,,,,,,,,0,1,0,1,,,0,1,1,0,,,,,0,1,0,1,,,1,2,,,,,1,12,,,0,1,,,1,0,,,,,,,,,1,0,,,2,0,0,2,,,2,0,,,1,0,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,0,1,,,,,,,9,-,14,7,-,4,2,-,7,0,-,2,0,-,1
96,46,Moky,,,0,1,,,,,0,1,,,,,,,0,2,,,,,,,,,0,1,0,2,,,,,,,3,1,0,1,,,0,1,8,7,,,0,1,,,0,1,,,,,,,,,1,0,,,,,1,0,0,1,,,1,4,0,1,,,,,1,0,,,,,,,,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,2,0,,,,,,,15,-,26,8,-,13,7,-,10,0,-,1,0,-,2
40,47,Santiago,,,,,0,1,,,,,,,,,,,0,1,,,0,3,,,,,1,0,,,,,0,1,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,2,-,8,0,-,2,2,-,3,0,-,2,0,-,1
41,48,Professor Pro,,,,,,,0,1,,,,,,,,,0,1,,,,,,,1,2,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,0,1,,,,,4,1,,,,,,,,,,,,,,,1,0,,,,,,,3,3,1,0,,,,,,,,,,,,,1,0,,,,,,,,,12,-,14,9,-,10,2,-,0,1,-,3,0,-,1
56,49,Medz,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,0,1,,,,,0,2,0,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,4,-,7,1,-,0,1,-,4,2,-,3,0,-,0
60,50,OverTriforce,0,1,,,,,1,3,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,0,1,1,0,,,2,11,0,1,,,0,1,,,,,2,3,1,0,,,,,,,1,0,,,,,4,2,,,,,,,,,3,3,,,,,0,3,,,,,,,,,,,1,1,1,0,0,1,,,,,,,14,-,31,13,-,23,0,-,4,0,-,0,1,-,4
11,N/A,ChuDat,0,1,,,0,2,0,1,,,,,,,,,,,,,,,0,1,0,3,,,1,0,0,1,,,1,0,,,,,0,1,0,1,,,,,0,1,1,0,0,1,,,,,,,,,,,1,1,,,4,2,,,0,1,,,,,2,0,1,0,1,0,1,0,,,,,0,1,0,1,0,1,,,3,0,,,,,,,,,,,,,,,1,0,1,0,,,,,,,14,-,18,11,-,6,3,-,8,0,-,0,0,-,4
12,N/A,DruggedFox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0
27,N/A,dizzkidboogie,,,0,1,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,2,-,6,2,-,3,0,-,1,0,-,1,0,-,1
29,N/A,KirbyKaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,1,0,-,1,0,-,0,0,-,0,0,-,0
35,N/A,Nintendude,,,,,0,1,,,,,,,0,1,,,,,1,0,0,1,,,,,,,,,,,,,,,0,1,0,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,0,1,,,,,0,1,,,,,,,1,0,,,,,,,1,2,,,,,,,,,,,,,,,,,0,1,4,-,10,3,-,4,0,-,4,1,-,1,0,-,1
38,N/A,Prince Abu,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,0,2,0,1,,,0,1,,,,,,,,,1,0,,,,,,,,,0,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,10,2,-,4,0,-,5,0,-,1,0,-,0
